pl_name,hostname,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt
TOI-270 d,TOI-270,Transiting Exoplanet Survey Satellite (TESS),11.38014,0.0733,2.13,0.19,5.18,0.0163,0.0,4.36,340.0
TOI-421 b,TOI-421,Transiting Exoplanet Survey Satellite (TESS),5.19672,0.056,2.68,0.239,7.17,0.02256,0.163,154.57,981.0
TOI-421 c,TOI-421,Transiting Exoplanet Survey Satellite (TESS),16.06819,0.1189,5.09,0.45399999999999996,16.42,0.051660000000000005,0.152,34.32,674.0
TOI-451 b,TOI-451,Transiting Exoplanet Survey Satellite (TESS),1.858703,0.0283,1.91,0.17,4.31,0.0136,0.0,209.98,1491.0
TOI-451 c,TOI-451,Transiting Exoplanet Survey Satellite (TESS),9.192522,0.0823,3.1,0.27699999999999997,9.8,0.0308,0.0,209.98,875.0
TOI-451 d,TOI-451,Transiting Exoplanet Survey Satellite (TESS),16.364988,0.1208,4.07,0.363,15.6,0.049,0.0,209.98,722.0
TOI-481 b,TOI-481,Transiting Exoplanet Survey Satellite (TESS),10.33111,0.097,11.097000000000001,0.99,486.2799,1.53,0.153,209.98,1370.0
TOI-540 b,TOI-540,Transiting Exoplanet Survey Satellite (TESS),1.2391491,0.01223,0.903,0.081,0.674,0.00212,0.0,23.4,611.0
TOI-561 b,TOI-561,Transiting Exoplanet Survey Satellite (TESS),0.446578,0.01055,1.423,0.127,1.59,0.005,0.0,4628.63,2480.0
TOI-561 c,TOI-561,Transiting Exoplanet Survey Satellite (TESS),10.779,0.08809,2.878,0.257,5.4,0.01699,0.06,66.33,860.0
TOI-561 d,TOI-561,Transiting Exoplanet Survey Satellite (TESS),25.62,0.1569,2.53,0.226,11.95,0.0376,0.051,38.0,750.0
TOI-561 e,TOI-561,Transiting Exoplanet Survey Satellite (TESS),77.23,0.3274,2.67,0.23800000000000002,16.0,0.050339999999999996,0.061,38.0,750.0
TOI-561 f,TOI-561,Transiting Exoplanet Survey Satellite (TESS),16.287,0.1174,2.32,0.207,3.0,0.00944,0.0,38.0,750.0
TOI-564 b,TOI-564,Transiting Exoplanet Survey Satellite (TESS),1.651144,0.027339999999999996,11.433,1.02,464.98529,1.463,0.072,1423.0,1714.0
TOI-628 b,TOI-628,Transiting Exoplanet Survey Satellite (TESS),3.4095675,0.0486,11.882,1.06,2011.8639,6.33,0.072,1052.9,1586.0
TOI-640 b,TOI-640,Transiting Exoplanet Survey Satellite (TESS),5.0037775,0.06608,19.851,1.771,279.6904,0.88,0.05,1192.11,1749.0
TOI-677 b,TOI-677,Transiting Exoplanet Survey Satellite (TESS),11.2366,0.1038,13.115,1.17,392.83788,1.236,0.435,200.86,1252.0
TOI-700 b,TOI-700,Transiting Exoplanet Survey Satellite (TESS),9.97702,0.0677,1.037,0.09300000000000001,1.11,0.0034799999999999996,0.081,5.0,417.0
TOI-700 c,TOI-700,Transiting Exoplanet Survey Satellite (TESS),16.05111,0.0929,2.65,0.23600000000000002,7.51,0.0236,0.078,2.66,356.0
TOI-700 d,TOI-700,Transiting Exoplanet Survey Satellite (TESS),37.42475,0.1633,1.1440000000000001,0.102,1.57,0.00495,0.111,0.85,269.0
TOI-763 b,TOI-763,Transiting Exoplanet Survey Satellite (TESS),5.6057,0.06,2.28,0.203,9.79,0.0308,0.04,323.45,1038.0
TOI-763 c,TOI-763,Transiting Exoplanet Survey Satellite (TESS),12.2737,0.1011,2.63,0.235,9.32,0.02932,0.04,113.71,800.0
TOI-776 b,TOI-776,Transiting Exoplanet Survey Satellite (TESS),8.24661,0.0652,1.85,0.165,4.0,0.01259,0.06,11.5,514.0
TOI-776 c,TOI-776,Transiting Exoplanet Survey Satellite (TESS),15.6653,0.1,2.02,0.18,5.3,0.01668,0.04,4.9,415.0
TOI-813 b,TOI-813,Transiting Exoplanet Survey Satellite (TESS),83.8911,0.423,6.71,0.599,36.4,0.114,0.0,23.1,610.0
